rank,cca3,country,continent,2023 population,2022 population,2020 population,2015 population,2010 population,2000 population,1990 population,1980 population,1970 population,area (km²),density (km²),growth rate,world percentage,new_feature
50.0,MDG,MADAGASCAR,africa,30325732.0,29611714.0,28225177.0,24850912.0,21731053.0,16216431.0,11882762.0,8948162.0,6639751.0,0.058870212604367984,52.0,2.41%,0.38%,59937446.0
51.0,CIV,"IVORY,COAST",africa,,,,23596741.0,21120042.0,16799670.0,11910540.0,8303810.0,5477086.0,-0.10809822487140554,91.0,2.53%,0.36%,
52.0,VEN,VENEZUELA,south america,,,,30529716.0,28715022.0,24427729.0,19750579.0,15210443.0,11355475.0,0.2667486876789007,33.0,1.90%,0.36%,
53.0,CMR,CAMEROON,africa,,,,23012646.0,19878036.0,15091594.0,11430520.0,8519891.0,6452787.0,-0.011557074070483474,61.0,2.63%,0.36%,
54.0,NER,NIGER,africa,27202843.0,26207977.0,24333639.0,20128124.0,16647543.0,11622665.0,8370647.0,6173177.0,4669708.0,0.48797502017563055,21.0,3.80%,0.34%,53410820.0
55.0,AUS,AUSTRALIA,oceania,26439111.0,26177413.0,25670051.0,23820236.0,22019168.0,19017963.0,17048003.0,14706322.0,12595034.0,4.542644032808369,3.0,1.00%,0.33%,52616524.0
56.0,PRK,"NORTH,KOREA",asia,26160821.0,26069416.0,25867467.0,25258015.0,24686435.0,23367059.0,20799523.0,17973650.0,14996879.0,-0.23552794970603116,217.0,0.35%,0.33%,52230237.0
57.0,TWN,TAIWAN,asia,23923276.0,23893394.0,23821464.0,23512136.0,23083083.0,22194731.0,20586174.0,18100281.0,14957870.0,-0.2887559310910825,661.0,0.13%,0.30%,47816670.0
58.0,MLI,MALI,africa,23293698.0,22593590.0,21224040.0,18112907.0,15529181.0,11239101.0,8945026.0,7372581.0,6153587.0,0.47105717412701537,19.0,3.10%,0.29%,45887288.0
59.0,BFA,"BURKINA,FASO",africa,23251485.0,22673762.0,21522626.0,18718019.0,16116845.0,11882888.0,9131361.0,6932967.0,5611666.0,-0.13933388989760154,85.0,2.55%,0.29%,45925247.0
60.0,SYR,SYRIA,asia,23227014.0,22125249.0,20772595.0,19205178.0,22337563.0,16307654.0,12408996.0,8898954.0,6319199.0,-0.19473402982112406,126.0,4.98%,0.29%,45352263.0
61.0,LKA,"SRI,LANKA",asia,21893579.0,21832143.0,21715079.0,21336697.0,20668557.0,18776371.0,17204094.0,14943645.0,12388769.0,-0.27019161158898924,354.0,0.28%,0.27%,43725722.0
62.0,MWI,MALAWI,africa,20931751.0,20405317.0,19377061.0,16938942.0,14718422.0,11229387.0,9539665.0,6267369.0,4625141.0,-0.2368241767943576,222.0,2.58%,0.26%,41337068.0
63.0,ZMB,ZAMBIA,africa,20569737.0,20017675.0,18927715.0,16248230.0,13792086.0,9891136.0,7686401.0,5720438.0,4281671.0,0.16335785390977248,28.0,2.76%,0.26%,40587412.0
64.0,ROU,ROMANIA,europe,19892812.0,19659267.0,19442038.0,19906079.0,20335211.0,21919876.0,,22125224.0,19922618.0,-0.16115392290927427,86.0,1.19%,0.25%,39552079.0
65.0,CHL,CHILE,south america,19629590.0,19603733.0,19300315.0,17870124.0,17004162.0,15351799.0,,11469828.0,9820481.0,0.16556030402577018,26.0,0.13%,0.25%,39233323.0
66.0,KAZ,KAZAKHSTAN,asia,19606633.0,19397998.0,18979243.0,17835909.0,16627837.0,15236253.0,,14172710.0,12265305.0,1.408018580093425,7.0,1.08%,0.24%,39004631.0
67.0,TCD,CHAD,africa,18278568.0,17723315.0,16644701.0,14140274.0,11894727.0,8259137.0,,4408230.0,3667394.0,0.4987032872163073,15.0,3.13%,0.23%,36001883.0
68.0,ECU,ECUADOR,south america,18190484.0,18001000.0,17588595.0,16195902.0,14989585.0,12626507.0,10449837.0,8135845.0,6172215.0,-0.13688910716139088,73.0,1.05%,0.23%,36191484.0
69.0,SOM,SOMALIA,africa,18143378.0,17597511.0,16537016.0,13763906.0,12026649.0,8721465.0,6999096.0,5892224.0,3720977.0,0.09081268110618511,29.0,3.10%,0.23%,35740889.0
70.0,GTM,GUATEMALA,north america,18092026.0,17843908.0,17362718.0,16001107.0,14543121.0,11735894.0,9084780.0,6987767.0,5453208.0,-0.2428793369270219,169.0,1.39%,0.23%,35935934.0
71.0,SEN,SENEGAL,africa,17763163.0,17316449.0,16436119.0,14356181.0,12530121.0,9704287.0,7536001.0,5703869.0,4367744.0,-0.1874501675750364,92.0,2.58%,0.22%,35079612.0
72.0,NLD,NETHERLANDS,europe,17618299.0,17564014.0,17434557.0,17041107.0,16617117.0,15899135.0,14944548.0,14130387.0,13037686.0,-0.2851859424646644,523.0,0.31%,0.22%,35182313.0
73.0,KHM,CAMBODIA,asia,16944826.0,16767842.0,16396860.0,15417523.0,14363532.0,12118841.0,8910808.0,6198959.0,6708525.0,-0.19734983375545373,96.0,1.06%,0.21%,33712668.0
74.0,ZWE,ZIMBABWE,africa,16665409.0,16320537.0,15669666.0,14154937.0,12839771.0,11834676.0,10113893.0,7049926.0,5202918.0,-0.06499962079634836,43.0,2.11%,0.21%,32985946.0
75.0,GIN,GUINEA,africa,14190612.0,13859341.0,13205153.0,11625998.0,10270728.0,8336967.0,6354145.0,4972609.0,4222374.0,-0.15644232045482181,58.0,2.39%,0.18%,28049953.0
76.0,RWA,RWANDA,africa,14094683.0,13776698.0,13146362.0,11642959.0,10309031.0,8109989.0,7319962.0,5247532.0,3896367.0,-0.294975170602016,571.0,2.31%,0.18%,27871381.0
77.0,BEN,BENIN,africa,13712828.0,13352864.0,12643123.0,10932783.0,9445710.0,6998023.0,5133419.0,3833939.0,3023443.0,-0.24052353569979568,122.0,2.70%,0.17%,27065692.0
78.0,BDI,BURUNDI,africa,13238559.0,12889576.0,12220227.0,10727148.0,9126605.0,6307659.0,5483793.0,4312834.0,3497834.0,-0.2940310831024364,516.0,2.71%,0.17%,26128135.0
79.0,TUN,TUNISIA,africa,12458223.0,12356117.0,12161723.0,11557779.0,10895063.0,9893316.0,8440023.0,6578156.0,5047404.0,-0.20834630747214733,80.0,0.83%,0.16%,24814340.0
80.0,BOL,BOLIVIA,south america,12388571.0,12224110.0,11936162.0,11090085.0,10223270.0,8592656.0,7096194.0,5736088.0,4585693.0,0.38169007860364684,11.0,1.35%,0.15%,24612681.0
81.0,HTI,HAITI,north america,11724763.0,11584996.0,11306801.0,10563757.0,9842880.0,8360225.0,6925331.0,5646676.0,4680812.0,-0.294084093363108,425.0,1.21%,0.15%,23309759.0
82.0,BEL,BELGIUM,europe,11686140.0,11655930.0,11561717.0,11248303.0,10877947.0,10264343.0,9959560.0,9828986.0,9629376.0,-0.29233096831375505,386.0,0.26%,0.15%,23342070.0
83.0,JOR,JORDAN,asia,11337052.0,11285869.0,10928721.0,9494246.0,,,3480587.0,2216903.0,1557374.0,-0.2552149508002047,128.0,0.45%,0.14%,22622921.0
84.0,DOM,"DOMINICAN,REPUBLIC",north america,11332972.0,11228821.0,10999664.0,10405832.0,,,7129004.0,5755800.0,4475871.0,-0.28088138308322586,235.0,0.93%,0.14%,22561793.0
85.0,CUB,CUBA,north america,11194449.0,11212191.0,11300698.0,11339894.0,,,10626680.0,9809107.0,8869636.0,-0.2422514177678764,108.0,-0.16%,0.14%,22406640.0
86.0,SSD,"SOUTH,SUDAN",africa,11088796.0,10913164.0,10606227.0,11194299.0,,,4750817.0,4192012.0,3342410.0,0.07950887409250271,18.0,1.61%,0.14%,22001960.0
87.0,SWE,SWEDEN,europe,10612086.0,10549347.0,10368969.0,9849349.0,9381729.0,8871043.0,8548406.0,8311763.0,8027702.0,-0.02742670532177146,26.0,0.59%,0.13%,21161433.0
88.0,HND,HONDURAS,north america,10593798.0,10432860.0,10121763.0,9294505.0,8450933.0,6656725.0,5053234.0,3777990.0,2782753.0,-0.24060557538893027,95.0,1.54%,0.13%,21026658.0
89.0,CZE,"CZECH,REPUBLIC",europe,10495295.0,10493986.0,10530953.0,10523798.0,10464749.0,10234710.0,10301192.0,10270060.0,9795744.0,-0.26182671866992047,136.0,0.01%,0.13%,20989281.0
90.0,AZE,AZERBAIJAN,asia,10412651.0,10358074.0,10284951.0,9863480.0,9237202.0,8190337.0,7427836.0,6383060.0,5425317.0,-0.2569453571664126,126.0,0.53%,0.13%,20770725.0
91.0,GRC,GREECE,europe,10341277.0,10384971.0,10512232.0,10806641.0,11033783.0,11038109.0,10302255.0,9307148.0,8544873.0,-0.22830088416780592,80.0,-0.42%,0.13%,20726248.0
92.0,PNG,"PAPUA,NEW,GUINEA",oceania,10329931.0,10142619.0,9749640.0,8682174.0,7583269.0,5508297.0,3864972.0,3104788.0,2489059.0,-0.019509875320283906,23.0,1.85%,0.13%,20472550.0
93.0,PRT,PORTUGAL,europe,10247605.0,10270865.0,10298192.0,10365435.0,10588401.0,10300626.0,10007346.0,9785252.0,8683631.0,-0.25348075798680586,112.0,-0.23%,0.13%,20518470.0
94.0,HUN,HUNGARY,europe,10156239.0,9967308.0,9750573.0,9844246.0,9986825.0,10202055.0,10375989.0,10698679.0,10315366.0,-0.25288881007597325,111.0,1.90%,0.13%,20123547.0
95.0,TJK,TAJIKISTAN,asia,10143543.0,9952787.0,9543207.0,8524063.0,7621779.0,6272998.0,5417860.0,4045965.0,2993019.0,-0.2212896461194578,73.0,1.92%,0.13%,20096330.0
96.0,ARE,"UNITED,ARAB,EMIRATES",asia,9516871.0,9441129.0,9287289.0,8916899.0,8481771.0,3275333.0,1900151.0,1014048.0,298084.0,-0.25883858076182614,134.0,,,18958000.0
